branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
4842,6496612,37062,3,3,33,6,Loyal,cluster_2
4862,586,120,1,1,11,2,Churned,cluster_0
4869,14764679,49152,4,4,44,8,Premium,cluster_1
4937,8706091,45501,4,3,43,7,Loyal,cluster_2
4952,3360702,36890,3,2,32,5,Regular,cluster_2
4984,3621459,30078,1,2,12,3,Churned,cluster_2
5002,167,81,1,1,11,2,Churned,cluster_0
5012,26822579,51744,4,4,44,8,Premium,cluster_1
5086,10929528,38016,3,4,34,7,Loyal,cluster_2
5122,5121538,34639,2,2,22,4,Regular,cluster_2
5129,78522,4914,1,1,11,2,Churned,cluster_0
5167,5112044,37887,3,2,32,5,Regular,cluster_2
5181,10337989,38016,3,4,34,7,Loyal,cluster_2
5206,7465308,44429,4,3,43,7,Loyal,cluster_2
5226,4471211,30508,1,2,12,3,Churned,cluster_2
5240,9077024,38736,3,3,33,6,Loyal,cluster_2
5255,4699521,31806,2,2,22,4,Regular,cluster_2
5261,13182462,40700,3,4,34,7,Loyal,cluster_2
5274,4503557,39372,3,2,32,5,Regular,cluster_2
5297,9005152,33360,2,3,23,5,Regular,cluster_2
5301,4369725,33232,2,2,22,4,Regular,cluster_2
5314,325559,4565,1,1,11,2,Churned,cluster_0
5339,2202954,33600,2,1,21,3,Churned,cluster_2
5344,6125778,39405,3,2,32,5,Regular,cluster_2
5395,10599255,32674,2,4,24,6,Loyal,cluster_2
5420,6481683,33001,2,3,23,5,Regular,cluster_2
5440,14413486,45040,4,4,44,8,Premium,cluster_2
5445,7965178,32804,2,3,23,5,Regular,cluster_2
5472,7432492,34398,2,3,23,5,Regular,cluster_2
5489,42868112,53600,4,4,44,8,Premium,cluster_1
5494,71492,4725,1,1,11,2,Churned,cluster_0
5495,12325479,40275,3,4,34,7,Loyal,cluster_2
5499,2935225,38608,3,1,31,4,Regular,cluster_2
5502,8087538,37960,3,3,33,6,Loyal,cluster_2
5514,7517916,37559,3,3,33,6,Loyal,cluster_2
